# Copyright (c) 2023, Arm Limited.
# SPDX-License-Identifier: Apache-2.0
# Auto-generated from actuation_format_bag
1672931043676175352,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043701154006,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043726119638,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043751007858,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043776211883,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043801422268,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043826307395,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043851306140,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043876165951,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043901268294,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043926342110,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043951279962,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931043976265043,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044001210486,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044026685621,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044051237618,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044076138919,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044101205346,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044126351933,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044151165931,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044176262538,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044201224603,0x1.1244b4p-1,0x1p-2,0x1.13de08p-5,0x0p+0
1672931044226256828,0x1.1244cp-1,0x1.000004p-2,0x1.13de14p-5,0x0p+0
1672931044251389448,0x1.124502p-1,0x1.000004p-2,0x1.13de5ep-5,0x0p+0
1672931044278046753,0x1.124566p-1,0x1.000004p-2,0x1.13df2cp-5,0x0p+0
1672931044301183913,0x1.1246bp-1,0x1.000004p-2,0x1.13e0aap-5,0x0p+0
1672931044326317415,0x1.1248bep-1,0x1.000004p-2,0x1.13e32p-5,0x0p+0
1672931044351244440,0x1.124b96p-1,0x1.000004p-2,0x1.13e6acp-5,0x0p+0
1672931044376221023,0x1.124f3ap-1,0x1.000004p-2,0x1.13eb5cp-5,0x0p+0
1672931044401268607,0x1.124924p-1,0x1.000004p-2,0x1.13f2cp-5,0x0p+0
1672931044426328074,0x1.124e16p-1,0x1.000004p-2,0x1.13f9aap-5,0x0p+0
1672931044451376773,0x1.125388p-1,0x1.000004p-2,0x1.140194p-5,0x0p+0
1672931044476472552,0x1.12595cp-1,0x1.000004p-2,0x1.140a6ep-5,0x0p+0
1672931044501269383,0x1.123422p-1,0x1.000002p-2,0x1.141aa8p-5,0x0p+0
1672931044526238512,0x1.123a6cp-1,0x1.000002p-2,0x1.14251ap-5,0x0p+0
1672931044551254272,0x1.1240ccp-1,0x1.000002p-2,0x1.14302ap-5,0x0p+0
1672931044576348294,0x1.12473p-1,0x1.000002p-2,0x1.143bd2p-5,0x0p+0
1672931044601152905,0x1.15ed62p-1,0x1.ffff48p-3,0x1.13cc32p-5,0x0p+0
1672931044626270483,0x1.15f44ap-1,0x1.ffff48p-3,0x1.13d8d8p-5,0x0p+0
1672931044651107745,0x1.15fb14p-1,0x1.ffff48p-3,0x1.13e5cep-5,0x0p+0
